#TYPE Selected.System.Management.Automation.CmdletInfo
"Name"
"Add-MsolForeignGroupToRole"
"Add-MsolGroupMember"
"Add-MsolRoleMember"
"Confirm-MsolDomain"
"Confirm-MsolEmailVerifiedDomain"
"Connect-MsolService"
"Convert-MsolDomainToFederated"
"Convert-MsolDomainToStandard"
"Convert-MsolFederatedUser"
"Get-MsolAccountSku"
"Get-MsolCompanyInformation"
"Get-MsolContact"
"Get-MsolDirSyncProvisioningError"
"Get-MsolDomain"
"Get-MsolDomainFederationSettings"
"Get-MsolDomainVerificationDns"
"Get-MsolFederationProperty"
"Get-MsolGroup"
"Get-MsolGroupMember"
"Get-MsolPartnerContract"
"Get-MsolPartnerInformation"
"Get-MsolPasswordPolicy"
"Get-MsolRole"
"Get-MsolRoleMember"
"Get-MsolServicePrincipal"
"Get-MsolServicePrincipalCredential"
"Get-MsolSubscription"
"Get-MsolUser"
"Get-MsolUserByStrongAuthentication"
"Get-MsolUserRole"
"New-MsolDomain"
"New-MsolFederatedDomain"
"New-MsolGroup"
"New-MsolLicenseOptions"
"New-MsolServicePrincipal"
"New-MsolServicePrincipalAddresses"
"New-MsolServicePrincipalCredential"
"New-MsolUser"
"New-MsolWellKnownGroup"
"Redo-MsolProvisionContact"
"Redo-MsolProvisionGroup"
"Redo-MsolProvisionUser"
"Remove-MsolApplicationPassword"
"Remove-MsolContact"
"Remove-MsolDomain"
"Remove-MsolFederatedDomain"
"Remove-MsolForeignGroupFromRole"
"Remove-MsolGroup"
"Remove-MsolGroupMember"
"Remove-MsolRoleMember"
"Remove-MsolServicePrincipal"
"Remove-MsolServicePrincipalCredential"
"Remove-MsolUser"
"Reset-MsolStrongAuthenticationMethodByUpn"
"Restore-MsolUser"
"Set-MsolADFSContext"
"Set-MsolCompanyContactInformation"
"Set-MsolCompanySettings"
"Set-MsolDirSyncEnabled"
"Set-MsolDomain"
"Set-MsolDomainAuthentication"
"Set-MsolDomainFederationSettings"
"Set-MsolGroup"
"Set-MsolPartnerInformation"
"Set-MsolPasswordPolicy"
"Set-MsolServicePrincipal"
"Set-MsolUser"
"Set-MsolUserLicense"
"Set-MsolUserPassword"
"Set-MsolUserPrincipalName"
"Update-MsolFederatedDomain"
