#TYPE Selected.System.Management.Automation.CmdletInfo
"Name"
"Add-SPOUser"
"Connect-SPOService"
"Disconnect-SPOService"
"Get-SPOAppErrors"
"Get-SPOAppInfo"
"Get-SPODeletedSite"
"Get-SPOExternalUser"
"Get-SPOSite"
"Get-SPOSiteGroup"
"Get-SPOTenant"
"Get-SPOTenantLogEntry"
"Get-SPOTenantLogLastAvailableTimeInUtc"
"Get-SPOUser"
"Get-SPOWebTemplate"
"New-SPOSite"
"New-SPOSiteGroup"
"Remove-SPODeletedSite"
"Remove-SPOExternalUser"
"Remove-SPOSite"
"Remove-SPOSiteGroup"
"Remove-SPOUser"
"Repair-SPOSite"
"Request-SPOUpgradeEvaluationSite"
"Restore-SPODeletedSite"
"Set-SPOSite"
"Set-SPOSiteGroup"
"Set-SPOTenant"
"Set-SPOUser"
"Test-SPOSite"
"Upgrade-SPOSite"
